"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "JSON", "Vue", "HTML", "comment", "blank", "total"
"d:\VSCODE\WEB\funny\kirill-web\README.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 5, 27
"d:\VSCODE\WEB\funny\kirill-web\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\VSCODE\WEB\funny\kirill-web\jsconfig.json", "JSON with Comments", 8, 0, 0, 0, 0, 0, 12, 0, 20
"d:\VSCODE\WEB\funny\kirill-web\package-lock.json", "JSON", 0, 0, 0, 22213, 0, 0, 0, 1, 22214
"d:\VSCODE\WEB\funny\kirill-web\package.json", "JSON", 0, 0, 0, 53, 0, 0, 0, 1, 54
"d:\VSCODE\WEB\funny\kirill-web\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 1, 1, 18
"d:\VSCODE\WEB\funny\kirill-web\src\App.vue", "Vue", 0, 0, 0, 0, 52, 0, 0, 13, 65
"d:\VSCODE\WEB\funny\kirill-web\src\components\AdminPage.vue", "Vue", 0, 0, 0, 0, 113, 0, 1, 13, 127
"d:\VSCODE\WEB\funny\kirill-web\src\components\AuthPage.vue", "Vue", 0, 0, 0, 0, 220, 0, 2, 37, 259
"d:\VSCODE\WEB\funny\kirill-web\src\components\MainPage.vue", "Vue", 0, 0, 0, 0, 474, 0, 2, 46, 522
"d:\VSCODE\WEB\funny\kirill-web\src\main.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"d:\VSCODE\WEB\funny\kirill-web\src\router\index.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 6, 39
"d:\VSCODE\WEB\funny\kirill-web\src\store\index.js", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 3, 106
"d:\VSCODE\WEB\funny\kirill-web\vue.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"Total", "-", 8, 155, 22, 22266, 859, 16, 18, 132, 23476
